,price_zz800,price_zz800_adj
2020-09-28,4841.63,1.1853376095578514
2020-09-29,4859.07,1.1896073054889096
2020-09-30,4848.68,1.1870636047593401
2020-10-09,4955.13,1.2131249081917446
2020-10-12,5103.63,1.2494809773294815
2020-10-13,5118.42,1.2531018949223915
2020-10-14,5084.55,1.2448097732948147
2020-10-15,5068.7,1.2409293443666454
2020-10-16,5057.11,1.2380918572198012
2020-10-19,5014.79,1.2277309895705821
2020-10-20,5057.49,1.2381848895852714
2020-10-21,5043.15,1.2346741418988394
2020-10-22,5025.03,1.2302379669979924
2020-10-23,4957.69,1.2137516525485972
2020-10-26,4936.06,1.208456152377222
2020-10-27,4943.82,1.2103559712089311
2020-10-28,4978.94,1.2189541203545022
2020-10-29,5009.26,1.2263771238309749
2020-10-30,4919.88,1.2044949321843021
2020-11-02,4946.3,1.2109631298046322
2020-11-03,5010.44,1.2266660138079615
2020-11-04,5037.94,1.2333986192038386
2020-11-05,5117.5,1.2528766586691475
2020-11-06,5108.4,1.2506487783381481
2020-11-09,5207.83,1.274991431229496
2020-11-10,5176.62,1.2673505361602115
2020-11-11,5122.52,1.2541056651814133
2020-11-12,5129.32,1.2557704548793027
2020-11-13,5086.34,1.2452480047005827
2020-11-16,5139.49,1.2582602947657053
2020-11-17,5122.42,1.2540811829799736
2020-11-18,5120.7,1.2536600891152132
2020-11-19,5153.51,1.2616926994075308
2020-11-20,5177.59,1.2675880135141753
2020-11-23,5236.52,1.2820153748225043
2020-11-24,5212.31,1.2760882338539883
2020-11-25,5137.72,1.2578269598002254
2020-11-26,5141.8,1.258825833618959
2020-11-27,5194.09,1.2716275767517016
2020-11-30,5171.84,1.266180286931401
2020-12-01,5277.47,1.2920408363120013
2020-12-02,5279.09,1.292437447975322
2020-12-03,5272.13,1.290733486755129
2020-12-04,5283.75,1.2935783185624052
2020-12-07,5241.16,1.2831513489692994
2020-12-08,5231.07,1.2806810948440484
2020-12-09,5155.18,1.2621015521715713
2020-12-10,5155.88,1.2622729275816482
2020-12-11,5094.13,1.247155168192724
2020-12-14,5139.75,1.2583239484894482
2020-12-15,5149.22,1.260642412965774
2020-12-16,5150.56,1.260970474465064
2020-12-17,5215.45,1.27685697497919
2020-12-18,5198.2,1.272633795230867
2020-12-21,5255.93,1.2867673701219215
2020-12-22,5162.06,1.2637859276306127
2020-12-23,5206.9,1.2747637467561082
2020-12-24,5181.87,1.268635851735788
2020-12-25,5229.39,1.280269793859864
2020-12-28,5240.93,1.2830950399059884
2020-12-29,5215.28,1.276815355236743
2020-12-30,5285.15,1.293921069382559
2020-12-31,5381.89,1.317605151055183
2021-01-04,5448.99,1.3340327082211232
2021-01-05,5540.58,1.3564559565196102
2021-01-06,5577.82,1.3655731283357
2021-01-07,5656.69,1.3848822406110757
2021-01-08,5645.75,1.3822038877735887
2021-01-11,5582.92,1.3668217206091173
2021-01-12,5723.96,1.4013514175194635
2021-01-13,5700.47,1.3956005484013123
2021-01-14,5603.48,1.3718552612250894
2021-01-15,5589.33,1.3683910297213926
2021-01-18,5656.12,1.3847426920628703
2021-01-19,5583.97,1.3670787837242326
2021-01-20,5626.33,1.3774494442540273
2021-01-21,5713.78,1.3988591294129167
2021-01-22,5720.53,1.4005116780100866
2021-01-25,5766.96,1.4118787641384714
2021-01-26,5655.16,1.3845076629290505
2021-01-27,5671.79,1.3885790530284483
2021-01-28,5523.85,1.352360084218773
2021-01-29,5490.75,1.3442564755422808
2021-02-01,5552.33,1.3593326151887577
2021-02-02,5630.85,1.3785560397590952
2021-02-03,5607.63,1.3728712725848309
2021-02-04,5585.27,1.3673970523429468
2021-02-05,5576.05,1.3651397933702198
2021-02-08,5656.85,1.384921412133379
2021-02-09,5779.89,1.4150443127846057
2021-02-10,5889.99,1.4419992165695539
2021-02-18,5875.36,1.4384174704989472
2021-02-19,5900.57,1.4445894334818588
2021-02-22,5746.28,1.4068158448807717
2021-02-23,5727.24,1.4021544337266807
2021-02-24,5595.34,1.3698624100279098
2021-02-25,5613.98,1.3744258923762425
2021-02-26,5482.03,1.3421216275767516
2021-03-01,5571.25,1.3639646477011214
2021-03-02,5505.39,1.3478406698330314
2021-03-03,5604.92,1.372207804925819
2021-03-04,5444.21,1.3328624589923126
2021-03-05,5430.13,1.3294153650296234
2021-03-08,5255.79,1.286733095039906
2021-03-09,5140.32,1.2584634970376536
2021-03-10,5157.81,1.2627454340694317
2021-03-11,5286.36,1.2942173040199774
2021-03-12,5302.54,1.2981785242128971
2021-03-15,5204.49,1.274173725701415
2021-03-16,5243.67,1.283765852225432
2021-03-17,5266.6,1.2893796210155217
2021-03-18,5308.57,1.2996548009597022
2021-03-19,5187.85,1.2700998873818734
2021-03-22,5246.71,1.2845101111491946
2021-03-23,5191.95,1.271103657640895
2021-03-24,5112.87,1.2517431327424962
2021-03-25,5113.8,1.251970817215884
2021-03-26,5221.16,1.2782549086813886
2021-03-29,5228.89,1.2801473828526662
2021-03-30,5272.06,1.2907163492141214
2021-03-31,5229.91,1.2803971013073496
2021-04-01,5290.85,1.2953165548646135
2021-04-02,5334.39,1.3059761053713952
2021-04-06,5320.49,1.302573079371297
2021-04-07,5292.08,1.2956176859423199
2021-04-08,5300.51,1.2976815355236744
2021-04-09,5234.8,1.2815942809577439
2021-04-12,5144.0,1.2593644420506291
2021-04-13,5134.36,1.2570043578318562
2021-04-14,5179.97,1.2681706899084366
2021-04-15,5154.44,1.2619203838809185
2021-04-16,5180.16,1.2682172060911716
2021-04-19,5293.25,1.2959041276991627
2021-04-20,5290.94,1.295338588845909
2021-04-21,5301.71,1.297975321940949
2021-04-22,5298.85,1.2972751309797779
2021-04-23,5339.18,1.3071488028203497
2021-04-26,5288.69,1.294787739313519
2021-04-27,5300.03,1.2975640209567645
2021-04-28,5331.28,1.3052147089066248
2021-04-29,5367.72,1.3141360231111983
2021-04-30,5333.92,1.3058610390246292
2021-05-06,5284.59,1.2937839690544974
2021-05-07,5223.92,1.2789306174411204
2021-05-10,5226.97,1.2796773245850268
2021-05-11,5247.77,1.284769622484454
2021-05-12,5275.59,1.2915805709249377
2021-05-13,5220.43,1.27807618861088
2021-05-14,5331.15,1.3051828820447533
2021-05-17,5400.7,1.322210253145963
2021-05-18,5406.85,1.3237159085344956
2021-05-19,5391.68,1.3200019585761154
2021-05-20,5396.28,1.3211281398423347
2021-05-21,5350.43,1.3099030504822995
2021-05-24,5370.7,1.3148655927140969
2021-05-25,5515.59,1.3503378543798659
2021-05-26,5518.9,1.351148215247515
2021-05-27,5543.85,1.3572565245066837
2021-05-28,5526.85,1.3530945502619596
2021-05-31,5546.75,1.3579665083484307
2021-06-01,5556.89,1.3604490035744015
2021-06-02,5504.41,1.3476007442589237
2021-06-03,5474.0,1.3401557068011556
2021-06-04,5500.43,1.3466263526416296
2021-06-07,5502.08,1.3470303089653821
2021-06-08,5458.61,1.3363878959996083
2021-06-09,5463.66,1.3376242471723057
2021-06-10,5505.48,1.347862703814327
2021-06-11,5460.48,1.336845713166528
2021-06-15,5401.97,1.3225211771042453
2021-06-16,5314.42,1.3010870097439162
2021-06-17,5340.78,1.3075405180433823
2021-06-18,5348.7,1.3094795083973951
2021-06-21,5347.7,1.3092346863829996
2021-06-22,5379.43,1.31700288889977
2021-06-23,5408.96,1.32423248298487
2021-06-24,5409.67,1.3244063066150908
2021-06-25,5488.58,1.3437252117710425
2021-06-28,5500.89,1.3467389707682516
2021-06-29,5439.73,1.3317656563678206
2021-06-30,5474.67,1.3403197375508007
2021-07-01,5462.87,1.3374308377809332
2021-07-02,5331.35,1.3052318464476327
2021-07-05,5344.64,1.3084855310189494
2021-07-06,5342.18,1.3078832688635362
2021-07-07,5398.71,1.3217230573373158
2021-07-08,5353.39,1.3106277236449102
2021-07-09,5348.07,1.3093252705283258
2021-07-12,5417.5,1.326323262987808
2021-07-13,5435.44,1.3307153699260637
2021-07-14,5376.08,1.316182735151545
2021-07-15,5437.79,1.3312907016598934
2021-07-16,5390.32,1.3196690006365372
2021-07-19,5399.15,1.3218307790236496
2021-07-20,5397.6,1.3214513049013368
2021-07-21,5441.1,1.3321010625275427
2021-07-22,5454.9,1.3354796063262009
2021-07-23,5396.67,1.3212236204279488
2021-07-26,5242.1,1.2833814816628313
2021-07-27,5073.71,1.2421559026587672
2021-07-28,5063.75,1.2397174753953877
2021-07-29,5161.41,1.2636267933212555
2021-07-30,5131.07,1.256198893404495
2021-08-02,5249.65,1.2852298878715174
2021-08-03,5240.21,1.2829187680556235
2021-08-04,5297.03,1.2968295549135778
2021-08-05,5268.95,1.2899549527493512
2021-08-06,5251.72,1.2857366694413161
2021-08-09,5311.13,1.3002815453165548
2021-08-10,5365.15,1.3135068305342015
2021-08-11,5352.23,1.3103437301082113
2021-08-12,5321.91,1.3029207266317386
2021-08-13,5298.49,1.2971869950545953
2021-08-16,5287.96,1.2946090192430104
2021-08-17,5175.21,1.267005337119914
2021-08-18,5229.85,1.280382411986486
2021-08-19,5204.79,1.2742471723057338
2021-08-20,5124.31,1.2545438965871814
2021-08-23,5197.29,1.2724110071977672
2021-08-24,5251.92,1.2857856338441953
2021-08-25,5271.03,1.290464182539294
2021-08-26,5186.29,1.2697179650394164
2021-08-27,5217.99,1.2774788228957548
2021-08-30,5215.16,1.2767859765950154
2021-08-31,5214.03,1.2765093277187485
2021-09-01,5254.86,1.2865054105665181
2021-09-02,5275.24,1.2914948832198991
2021-09-03,5248.71,1.2849997551779857
2021-09-06,5336.29,1.3064412671987464
2021-09-07,5410.16,1.3245262694021447
2021-09-08,5401.41,1.3223840767761836
2021-09-09,5412.86,1.3251872888410126
2021-09-10,5446.52,1.3334279978455663
2021-09-13,5436.11,1.3308794006757088
2021-09-14,5358.93,1.3119840376046614
2021-09-15,5324.79,1.303625814033198
2021-09-16,5250.15,1.2853522988787152
2021-09-17,5280.18,1.292704303971013
2021-09-22,5262.8,1.2884492973608188
2021-09-23,5297.22,1.296876071096313
2021-09-24,5272.14,1.2907359349752732
2021-09-27,5257.17,1.2870709494197718
2021-09-28,5267.51,1.2896024090486218
2021-09-29,5193.01,1.2713631689761544
2021-09-30,5236.2,1.2819370317778975
2021-10-08,5285.71,1.2940581697106204
2021-10-11,5290.64,1.2952651422415904
2021-10-12,5223.19,1.2787518973706116
2021-10-13,5274.26,1.2912549576457917
2021-10-14,5257.51,1.2871541889046665
2021-10-15,5275.4,1.2915340547422023
2021-10-18,5236.67,1.2820520981246635
2021-10-19,5285.07,1.2939014836214071
2021-10-20,5274.59,1.2913357489105421
2021-10-21,5285.4,1.2939822748861578
2021-10-22,5298.21,1.2971184448905646
2021-10-25,5328.33,1.304492483964158
2021-10-26,5314.69,1.3011531116878028
2021-10-27,5252.19,1.285851735788082
2021-10-28,5206.82,1.2747441609949566
2021-10-29,5256.12,1.2868138863046565
2021-11-01,5248.29,1.2848969299319395
2021-11-02,5193.33,1.271441512020761
2021-11-03,5183.99,1.2691548744063066
2021-11-04,5232.81,1.2811070851490967
2021-11-05,5196.59,1.2722396317876905
2021-11-08,5207.64,1.274944915046761
2021-11-09,5216.33,1.2770724183518583
2021-11-10,5192.06,1.2711305880624788
2021-11-11,5265.41,1.289088282818391
2021-11-12,5263.66,1.288659844293199
2021-11-15,5248.28,1.2848944817117955
2021-11-16,5239.64,1.2827792195074181
2021-11-17,5252.16,1.2858443911276503
2021-11-18,5209.44,1.2753855946726729
2021-11-19,5267.42,1.289580375067326
2021-11-22,5300.92,1.2977819125495764
2021-11-23,5302.83,1.298249522597072
2021-11-24,5304.57,1.2986755129021201
2021-11-25,5284.07,1.2936566616070118
2021-11-26,5252.07,1.2858223571463545
2021-11-29,5245.36,1.2841796014297606
2021-11-30,5235.13,1.2816750722224943
2021-12-01,5248.37,1.284916515693091
2021-12-02,5250.67,1.2854796063262008
2021-12-03,5300.09,1.2975787102776282
2021-12-06,5282.2,1.2931988444400921
2021-12-07,5300.13,1.297588503158204
2021-12-08,5377.48,1.3165254859716986
2021-12-09,5447.9,1.333765852225432
2021-12-10,5426.27,1.3284703520540568
2021-12-13,5457.92,1.3362189688096755
2021-12-14,5424.86,1.328125153013759
2021-12-15,5387.15,1.3188929148509034
2021-12-16,5422.47,1.3275400283993537
2021-12-17,5345.2,1.3086226313470106
2021-12-20,5263.46,1.2886108798903197
2021-12-21,5304.49,1.2986559271409686
2021-12-22,5309.99,1.300002448220144
2021-12-23,5344.21,1.3083802575527592
2021-12-24,5311.51,1.3003745776820252
2021-12-27,5308.8,1.2997111100230134
2021-12-28,5341.2,1.3076433432894286
2021-12-29,5275.02,1.2914410223767323
2021-12-30,5317.27,1.3017847524849435
2021-12-31,5341.22,1.3076482397297167
2022-01-04,5321.8,1.3028937962101552
2022-01-05,5258.02,1.2872790481320082
2022-01-06,5218.34,1.2775645106007933
2022-01-07,5212.25,1.2760735445331244
2022-01-10,5232.81,1.2811070851490967
2022-01-11,5185.0,1.269402144640846
2022-01-12,5235.02,1.281648141800911
2022-01-13,5152.3,1.2613964647701121
2022-01-14,5117.23,1.2528105567252608
2022-01-17,5163.91,1.2642388483572442
2022-01-18,5202.66,1.2737257014150711
2022-01-19,5167.84,1.2652009988738189
2022-01-20,5192.43,1.271221172207805
2022-01-21,5142.14,1.2589090731038537
2022-01-24,5148.7,1.2605151055182882
2022-01-25,5018.7,1.2286882436468687
2022-01-26,5053.25,1.2371468442442344
2022-01-27,4946.51,1.2110145424276553
2022-01-28,4896.01,1.1986510307006806
2022-02-07,4970.52,1.216892718993292
2022-02-08,4961.17,1.2146036331586936
2022-02-09,5014.32,1.2276159232238162
2022-02-10,5003.85,1.2250526367330952
2022-02-11,4955.61,1.2132424227586545
2022-02-14,4906.18,1.2011408705870832
2022-02-15,4957.21,1.2136341379816873
2022-02-16,4973.95,1.2177324585026685
2022-02-17,4982.56,1.2198403760466143
2022-02-18,5012.24,1.2271066934338735
2022-02-21,5003.94,1.2250746707143905
2022-02-22,4940.16,1.2094599226362435
2022-02-23,4998.23,1.2236767370121922
2022-02-24,4899.87,1.1995960436762474
2022-02-25,4945.61,1.2107942026146992
2022-02-28,4958.27,1.2138936493169468
2022-03-01,4993.13,1.222428144738775
2022-03-02,4959.59,1.2142168143759486
2022-03-03,4934.7,1.2081231944376438
2022-03-04,4879.65,1.1946457425451695
2022-03-07,4736.47,1.1595921265240172
2022-03-08,4624.68,1.1322234735347403
2022-03-09,4570.93,1.1190642902609804
2022-03-10,4644.61,1.1371027762816432
2022-03-11,4666.17,1.142381138912011
2022-03-14,4531.69,1.1094574744160994
2022-03-15,4312.34,1.055755765558439
2022-03-16,4487.21,1.098567791215786
2022-03-17,4573.64,1.1197277579199922
2022-03-18,4608.09,1.1281618763159185
2022-03-21,4606.86,1.1278607452382117
2022-03-22,4603.88,1.1271311756353133
2022-03-23,4628.29,1.1331072810067082
2022-03-24,4598.17,1.1257332419331147
2022-03-25,4521.9,1.1070606668951672
2022-03-28,4503.07,1.1024506683640993
2022-03-29,4486.04,1.0982813494589434
2022-03-30,4606.34,1.1277334377907262
2022-03-31,4571.24,1.1191401850854428
2022-04-01,4622.14,1.1316016256181758
2022-04-06,4610.7,1.1288008617734906
2022-04-07,4542.15,1.1120183126866767
2022-04-08,4560.39,1.1164838662292513
2022-04-11,4419.17,1.081910101356314
2022-04-12,4501.72,1.1021201586446654
2022-04-13,4454.28,1.090505802281741
2022-04-14,4511.18,1.1044361749008471
2022-04-15,4499.15,1.1014909660676688
2022-04-18,4481.34,1.0971306859912844
2022-04-19,4458.68,1.0915830191450817
